lap,time_s,voltage_V,current_A,speed_kmh,distance_m
1,0.008,104.998,0.1071,0.0,0.0
1,0.208,104.995,0.2858,0.48,0.0
1,0.408,104.99,0.5717,0.96,0.027
1,0.608,104.985,0.8574,1.441,0.08
1,0.808,104.98,1.143,1.921,0.16
1,1.008,104.975,1.4285,2.401,0.267
1,1.208,104.97,1.7138,2.881,0.4
1,1.408,104.965,1.9989,3.361,0.56
1,1.608,104.965,2.0,3.841,0.747
1,1.808,104.965,2.0,4.234,0.96
1,2.008,104.965,2.0,4.569,1.196
1,2.208,104.965,2.0,4.864,1.449
1,2.408,104.965,2.0,5.128,1.72
1,2.608,104.965,2.0,5.368,2.005
1,2.808,104.965,2.0,5.587,2.303
1,3.008,104.965,2.0,5.789,2.613
1,3.208,104.965,2.0,5.977,2.935
1,3.408,104.965,2.0,6.153,3.267
1,3.608,104.965,2.0,6.318,3.609
1,3.808,104.965,2.0,6.473,3.96
1,4.008,104.964,2.0,6.62,4.319
1,4.208,104.964,2.0,6.76,4.687
1,4.408,104.964,2.0,6.892,5.062
1,4.608,104.964,2.0,7.019,5.445
1,4.808,104.964,2.0,7.14,5.835
1,5.008,104.964,2.0,7.256,6.232
1,5.208,104.964,2.0,7.368,6.635
1,5.408,104.964,2.0,7.476,7.044
1,5.608,104.964,2.0,7.58,7.46
1,5.808,104.964,2.0,7.68,7.881
1,6.008,104.964,2.0,7.777,8.308
1,6.208,104.964,2.0,7.871,8.74
1,6.408,104.964,2.0,7.962,9.177
1,6.608,104.964,2.0,8.051,9.619
1,6.808,104.964,2.0,8.137,10.066
1,7.008,104.964,2.0,8.221,10.519
1,7.208,104.964,2.0,8.304,10.975
1,7.408,104.964,2.0,8.384,11.437
1,7.608,104.964,2.0,8.463,11.902
1,7.808,104.964,2.0,8.54,12.373
1,8.008,104.964,2.0,8.615,12.847
1,8.208,104.964,2.0,8.689,13.326
1,8.408,104.963,2.0,8.762,13.808
1,8.608,104.963,2.0,8.834,14.295
1,8.808,104.963,2.0,8.905,14.786
1,9.008,104.963,2.0,8.974,15.281
1,9.208,104.963,2.0,9.043,15.779
1,9.408,104.963,2.0,9.111,16.282
1,9.608,104.963,2.0,9.178,16.788
1,9.808,104.963,2.0,9.245,17.298
1,10.008,104.963,2.0,9.312,17.811
1,10.208,104.963,2.0,9.378,18.329
1,10.408,104.963,2.0,9.443,18.85
1,10.608,104.963,2.0,9.509,19.374
1,10.808,104.963,2.0,9.574,19.902
1,11.008,104.963,2.0,9.638,20.434
1,11.208,104.963,2.0,9.703,20.97
1,11.408,104.963,2.0,9.768,21.509
1,11.608,104.963,2.0,9.834,22.052
1,11.808,104.963,2.0,9.9,22.598
1,12.008,104.963,2.0,9.966,23.148
1,12.208,104.963,2.0,10.032,23.702
1,12.408,104.963,2.0,10.099,24.259
1,12.608,104.963,2.0,10.167,24.82
1,12.808,104.962,2.0,10.234,25.385
1,13.008,104.962,2.0,10.303,25.953
1,13.208,104.962,2.0,10.372,26.526
1,13.408,104.962,2.0,10.442,27.102
1,13.608,104.962,2.0,10.512,27.682
1,13.808,104.962,2.0,10.583,28.266
1,14.008,104.962,2.0,10.655,28.854
1,14.208,104.962,2.0,10.727,29.446
1,14.408,104.962,2.0,10.801,30.042
1,14.608,104.962,2.0,10.875,30.642
1,14.808,104.962,2.0,10.949,31.246
1,15.008,104.962,2.0,11.025,31.854
1,15.208,104.962,2.0,11.101,32.467
1,15.408,104.962,2.0,11.178,33.084
1,15.608,104.962,2.0,11.256,33.705
1,15.808,104.962,2.0,11.335,34.33
1,16.008,104.962,2.0,11.415,34.96
1,16.208,104.962,2.0,11.496,35.594
1,16.408,104.962,2.0,11.577,36.232
1,16.608,104.962,2.0,11.659,36.876
1,16.808,104.962,2.0,11.742,37.523
1,17.008,104.962,2.0,11.826,38.176
1,17.208,104.961,2.0,11.911,38.833
1,17.408,104.961,2.0,11.997,39.494
1,17.608,104.961,2.0,12.084,40.161
1,17.808,104.961,2.0,12.171,40.832
1,18.008,104.961,2.0,12.26,41.508
1,18.208,104.961,2.0,12.349,42.19
1,18.408,104.961,2.0,12.439,42.876
1,18.608,104.961,2.0,12.531,43.567
1,18.808,104.961,2.0,12.623,44.263
1,19.008,104.961,2.0,12.716,44.964
1,19.208,104.961,2.0,12.811,45.671
1,19.408,104.961,2.0,12.906,46.382
1,19.608,104.961,2.0,13.002,47.099
1,19.808,104.961,2.0,13.099,47.822
1,20.008,104.961,2.0,13.197,48.549
1,20.208,104.961,2.0,13.295,49.282
1,20.408,104.961,2.0,13.395,50.021
1,20.608,104.961,2.0,13.495,50.765
1,20.808,104.961,2.0,13.597,51.515
1,21.008,104.961,2.0,13.698,52.27
1,21.208,104.961,2.0,13.801,53.031
1,21.408,104.961,2.0,13.904,53.798
1,21.608,104.96,2.0,14.008,54.571
1,21.808,104.96,2.0,14.112,55.349
1,22.008,104.96,2.0,14.217,56.133
1,22.208,104.96,2.0,14.323,56.923
1,22.408,104.96,2.0,14.429,57.718
1,22.608,104.96,2.0,14.535,58.52
1,22.808,104.96,2.0,14.642,59.327
1,23.008,104.96,2.0,14.75,60.141
1,23.208,104.96,2.0,14.859,60.96
1,23.408,104.96,2.0,14.972,61.786
1,23.608,104.96,2.0,15.088,62.618
1,23.808,104.96,2.0,15.208,63.456
1,24.008,104.96,2.0,15.332,64.301
1,24.208,104.96,2.0,15.459,65.152
1,24.408,104.96,2.0,15.591,66.011
1,24.608,104.96,2.0,15.724,66.877
1,24.808,104.96,2.0,15.86,67.751
1,25.008,104.96,2.0,15.998,68.632
1,25.208,104.96,2.0,16.139,69.521
1,25.408,104.96,2.0,16.283,70.418
1,25.608,104.96,2.0,16.427,71.322
1,25.808,104.959,2.0,16.57,72.235
1,26.008,104.959,2.0,16.711,73.155
1,26.208,104.959,2.0,16.851,74.084
1,26.408,104.959,2.0,16.99,75.02
1,26.608,104.959,2.0,17.128,75.964
1,26.808,104.959,2.0,17.264,76.915
1,27.008,104.959,2.0,17.399,77.874
1,27.208,104.959,2.0,17.532,78.841
1,27.408,104.959,2.0,17.663,79.815
1,27.608,104.959,2.0,17.793,80.796
1,27.808,104.959,2.0,17.92,81.785
1,28.008,104.959,2.0,18.046,82.78
1,28.208,104.961,1.8661,18.169,83.783
1,28.408,104.964,1.7216,18.282,84.792
1,28.608,104.966,1.6027,18.383,85.808
1,28.808,104.968,1.5001,18.475,86.829
1,29.008,104.969,1.4099,18.557,87.856
1,29.208,104.97,1.331,18.631,88.887
1,29.408,104.972,1.2626,18.697,89.922
1,29.608,104.972,1.2149,18.757,90.96
1,29.808,104.973,1.177,18.811,92.002
1,30.008,104.973,1.147,18.859,93.047
1,30.208,104.974,1.1243,18.903,94.095
1,30.408,104.974,1.1103,18.942,95.145
1,30.608,104.974,1.1161,18.978,96.198
1,30.808,104.974,1.1274,19.009,97.252
1,31.008,104.973,1.1436,19.038,98.308
1,31.208,104.973,1.1643,19.064,99.366
1,31.408,104.973,1.1926,19.087,100.425
1,31.608,104.972,1.2297,19.108,101.485
1,31.808,104.971,1.2702,19.127,102.547
1,32.008,104.97,1.3137,19.144,103.609
1,32.208,104.969,1.3599,19.159,104.673
1,32.408,104.968,1.4369,19.173,105.737
1,32.608,104.966,1.5288,19.185,106.802
1,32.808,104.965,1.6227,19.196,107.868
1,33.008,104.963,1.7185,19.206,108.935
1,33.208,104.961,1.8159,19.215,110.002
1,33.408,104.96,1.8918,19.223,111.069
1,33.608,104.959,1.9691,19.23,112.137
1,33.808,104.958,2.0,19.237,113.205
1,34.008,104.958,2.0,19.24,114.274
1,34.208,104.958,2.0,19.237,115.343
1,34.408,104.958,2.0,19.23,116.412
1,34.608,104.958,2.0,19.219,117.48
1,34.808,104.958,2.0,19.205,118.548
1,35.008,104.958,2.0,19.187,119.615
1,35.208,104.958,2.0,19.166,120.681
1,35.408,104.958,2.0,19.141,121.746
1,35.608,104.958,2.0,19.114,122.809
1,35.808,104.958,2.0,19.083,123.871
1,36.008,104.958,2.0,19.049,124.931
1,36.208,104.958,2.0,19.012,125.989
1,36.408,104.957,2.0,18.972,127.045
1,36.608,104.957,2.0,18.93,128.099
1,36.808,104.957,2.0,18.884,129.151
1,37.008,104.957,2.0,18.836,130.2
1,37.208,104.957,2.0,18.785,131.247
1,37.408,104.957,2.0,18.733,132.29
1,37.608,104.957,2.0,18.678,133.331
1,37.808,104.957,2.0,18.621,134.369
1,38.008,104.957,2.0,18.563,135.403
1,38.208,104.957,2.0,18.503,136.434
