lap,time_s,voltage_V,current_A,speed_kmh,distance_m
1,0.008,104.998,0.1071,0.0,0.0
1,0.208,104.995,0.2858,0.48,0.0
1,0.408,104.99,0.5717,0.96,0.027
1,0.608,104.985,0.8574,1.441,0.08
1,0.808,104.98,1.143,1.921,0.16
1,1.008,104.975,1.4285,2.401,0.267
1,1.208,104.97,1.7138,2.881,0.4
1,1.408,104.965,1.9989,3.361,0.56
1,1.608,104.96,2.2838,3.841,0.747
1,1.808,104.955,2.5684,4.321,0.96
1,2.008,104.95,2.8527,4.801,1.2
1,2.208,104.945,3.1367,5.281,1.467
1,2.408,104.94,3.4203,5.761,1.76
1,2.608,104.935,3.7035,6.241,2.081
1,2.808,104.93,3.9863,6.72,2.427
1,3.008,104.925,4.2687,7.2,2.801
1,3.208,104.92,4.5506,7.68,3.201
1,3.408,104.915,4.832,8.16,3.627
1,3.608,104.912,5.0,8.639,4.081
1,3.808,104.912,5.0,9.103,4.56
1,4.008,104.912,5.0,9.533,5.066
1,4.208,104.912,5.0,9.934,5.596
1,4.408,104.912,5.0,10.311,6.148
1,4.608,104.911,5.0,10.667,6.721
1,4.808,104.911,5.0,11.005,7.313
1,5.008,104.911,5.0,11.326,7.925
1,5.208,104.911,5.0,11.633,8.554
1,5.408,104.911,5.0,11.928,9.2
1,5.608,104.911,5.0,12.211,9.863
1,5.808,104.911,5.0,12.483,10.541
1,6.008,104.911,5.0,12.746,11.235
1,6.208,104.911,5.0,13.001,11.943
1,6.408,104.91,5.0,13.248,12.665
1,6.608,104.91,5.0,13.487,13.401
1,6.808,104.91,5.0,13.72,14.15
1,7.008,104.91,5.0,13.948,14.913
1,7.208,104.91,5.0,14.169,15.687
1,7.408,104.91,5.0,14.386,16.475
1,7.608,104.91,5.0,14.598,17.274
1,7.808,104.91,5.0,14.806,18.085
1,8.008,104.909,5.0,15.011,18.907
1,8.208,104.909,5.0,15.212,19.741
1,8.408,104.909,5.0,15.41,20.586
1,8.608,104.909,5.0,15.605,21.443
1,8.808,104.909,5.0,15.799,22.31
1,9.008,104.909,5.0,15.991,23.187
1,9.208,104.909,5.0,16.181,24.076
1,9.408,104.909,5.0,16.37,24.975
1,9.608,104.909,5.0,16.557,25.884
1,9.808,104.908,5.0,16.744,26.804
1,10.008,104.908,5.0,16.93,27.734
1,10.208,104.908,5.0,17.115,28.675
1,10.408,104.908,5.0,17.3,29.625
1,10.608,104.909,4.9454,17.485,30.587
1,10.808,104.914,4.6755,17.666,31.558
1,11.008,104.918,4.4208,17.829,32.539
1,11.208,104.922,4.1805,17.975,33.53
1,11.408,104.926,3.9541,18.107,34.528
1,11.608,104.929,3.7421,18.226,35.534
1,11.808,104.933,3.5437,18.333,36.547
1,12.008,104.936,3.3568,18.429,37.565
1,12.208,104.939,3.1805,18.515,38.589
1,12.408,104.942,3.0141,18.593,39.618
1,12.608,104.944,2.8577,18.664,40.651
1,12.808,104.947,2.7102,18.727,41.688
1,13.008,104.949,2.5705,18.784,42.728
1,13.208,104.952,2.4377,18.835,43.772
1,13.408,104.954,2.3115,18.881,44.818
1,13.608,104.956,2.1958,18.922,45.867
1,13.808,104.957,2.0866,18.96,46.918
1,14.008,104.959,1.9823,18.993,47.972
1,14.208,104.961,1.8824,19.023,49.027
1,14.408,104.963,1.7873,19.051,50.084
1,14.608,104.964,1.7038,19.075,51.142
1,14.808,104.965,1.6237,19.097,52.202
1,15.008,104.967,1.5467,19.117,53.263
1,15.208,104.968,1.4724,19.135,54.325
1,15.408,104.969,1.403,19.151,55.388
1,15.608,104.97,1.34,19.165,56.452
1,15.808,104.971,1.279,19.179,57.516
1,16.008,104.972,1.2199,19.19,58.582
1,16.208,104.973,1.1626,19.201,59.648
1,16.408,104.975,1.0624,19.21,60.715
1,16.608,104.977,0.9418,19.219,61.782
1,16.808,104.979,0.8224,19.227,62.85
1,17.008,104.981,0.704,19.234,63.918
1,17.208,104.983,0.5865,19.24,64.986
1,17.408,104.985,0.4987,19.245,66.055
1,17.608,104.986,0.412,19.25,67.124
1,17.808,104.988,0.3261,19.255,68.194
1,18.008,104.989,0.2408,19.259,69.264
1,18.208,104.99,0.1794,19.263,70.334
1,18.408,104.99,0.1697,19.266,71.404
1,18.608,104.99,0.1607,19.269,72.474
1,18.808,104.991,0.152,19.272,73.545
1,19.008,104.991,0.1438,19.274,74.615
1,19.208,104.991,0.1427,19.276,75.686
1,19.408,104.991,0.1457,19.278,76.757
1,19.608,104.991,0.1489,19.28,77.828
1,19.808,104.991,0.1525,19.282,78.899
1,20.008,104.99,0.1563,19.283,79.97
1,20.208,104.99,0.1702,19.284,81.042
1,20.408,104.99,0.1847,19.286,82.113
1,20.608,104.99,0.1993,19.287,83.184
1,20.808,104.989,0.2141,19.288,84.256
1,21.008,104.989,0.2338,19.288,85.327
1,21.208,104.989,0.2644,19.289,86.399
1,21.408,104.988,0.2952,19.29,87.471
1,21.608,104.987,0.326,19.29,88.542
1,21.808,104.987,0.357,19.291,89.614
1,22.008,104.986,0.3963,19.292,90.686
1,22.208,104.985,0.4404,19.292,91.757
1,22.408,104.985,0.4846,19.292,92.829
1,22.608,104.984,0.5288,19.293,93.901
1,22.808,104.983,0.5731,19.293,94.973
1,23.008,104.982,0.6336,19.293,96.045
1,23.208,104.981,0.6946,19.294,97.116
1,23.408,104.98,0.7556,19.294,98.188
1,23.608,104.979,0.8166,19.294,99.26
1,23.808,104.978,0.8805,19.294,100.332
1,24.008,104.976,0.9505,19.294,101.404
1,24.208,104.975,1.0205,19.295,102.476
1,24.408,104.974,1.0906,19.295,103.548
1,24.608,104.973,1.1607,19.295,104.62
1,24.808,104.971,1.2577,19.295,105.692
1,25.008,104.969,1.3694,19.295,106.764
1,25.208,104.967,1.4811,19.295,107.836
1,25.408,104.965,1.5929,19.295,108.907
1,25.608,104.963,1.7047,19.295,109.979
1,25.808,104.961,1.7938,19.295,111.051
1,26.008,104.96,1.8825,19.295,112.123
1,26.208,104.958,1.9712,19.295,113.195
1,26.408,104.957,2.0599,19.295,114.267
1,26.608,104.955,2.1391,19.295,115.339
1,26.808,104.954,2.1977,19.295,116.411
1,27.008,104.953,2.2563,19.295,117.483
1,27.208,104.952,2.3149,19.295,118.555
1,27.408,104.951,2.3736,19.295,119.627
1,27.608,104.95,2.4301,19.295,120.699
1,27.808,104.949,2.4856,19.295,121.771
1,28.008,104.948,2.5411,19.295,122.843
1,28.208,104.947,2.5966,19.295,123.915
1,28.408,104.946,2.652,19.295,124.987
1,28.608,104.945,2.7041,19.295,126.059
1,28.808,104.944,2.7562,19.295,127.131
1,29.008,104.943,2.8083,19.295,128.203
1,29.208,104.942,2.8603,19.295,129.275
1,29.408,104.941,2.9087,19.295,130.347
1,29.608,104.94,2.9493,19.295,131.419
1,29.808,104.94,2.9899,19.295,132.491
1,30.008,104.939,3.0305,19.295,133.563
1,30.208,104.938,3.0711,19.295,134.635
1,30.408,104.937,3.108,19.295,135.707
1,30.608,104.937,3.1431,19.295,136.779
1,30.808,104.936,3.1782,19.295,137.85
1,31.008,104.935,3.2133,19.295,138.922
1,31.208,104.935,3.2483,19.295,139.994
1,31.408,104.934,3.2674,19.295,141.066
1,31.608,104.934,3.2863,19.295,142.138
1,31.808,104.933,3.3052,19.295,143.21
1,32.008,104.933,3.3242,19.295,144.282
1,32.208,104.933,3.3385,19.295,145.354
1,32.408,104.932,3.3434,19.295,146.426
1,32.608,104.932,3.3484,19.295,147.498
1,32.808,104.932,3.3533,19.295,148.57
1,33.008,104.932,3.3583,19.295,149.642
1,33.208,104.932,3.3499,19.295,150.714
1,33.408,104.932,3.3349,19.295,151.786
1,33.608,104.932,3.3199,19.295,152.858
1,33.808,104.933,3.3048,19.295,153.93
1,34.008,104.933,3.2898,19.295,155.002
1,34.208,104.933,3.2649,19.295,156.074
1,34.408,104.934,3.24,19.295,157.146
1,34.608,104.934,3.2151,19.295,158.217
1,34.808,104.934,3.1902,19.295,159.289
1,35.008,104.935,3.1582,19.295,160.361
1,35.208,104.935,3.1122,19.295,161.433
1,35.408,104.936,3.0663,19.295,162.505
1,35.608,104.937,3.0204,19.295,163.577
1,35.808,104.938,2.9744,19.295,164.649
1,36.008,104.938,2.9278,19.295,165.721
1,36.208,104.939,2.8809,19.295,166.793
1,36.408,104.94,2.834,19.295,167.865
1,36.608,104.941,2.787,19.295,168.937
1,36.808,104.941,2.74,19.295,170.009
1,37.008,104.942,2.6788,19.295,171.081
1,37.208,104.943,2.6176,19.295,172.153
