lap,time_s,voltage_V,current_A,speed_kmh,distance_m
1,0.008,79.998,0.1406,0.0,0.0
1,0.208,79.993,0.3748,0.48,0.0
1,0.408,79.987,0.7489,0.959,0.027
1,0.608,79.98,1.1218,1.436,0.08
1,0.808,79.974,1.4935,1.912,0.16
1,1.008,79.967,1.864,2.387,0.266
1,1.208,79.961,2.2333,2.86,0.399
1,1.408,79.955,2.6012,3.332,0.557
1,1.608,79.948,2.9678,3.803,0.743
1,1.808,79.942,3.3331,4.272,0.954
1,2.008,79.935,3.6969,4.74,1.191
1,2.208,79.929,4.0593,5.207,1.455
1,2.408,79.923,4.4203,5.672,1.744
1,2.608,79.916,4.7797,6.136,2.059
1,2.808,79.91,5.1375,6.599,2.4
1,3.008,79.904,5.4938,7.061,2.767
1,3.208,79.897,5.8485,7.521,3.159
1,3.408,79.891,6.2016,7.98,3.577
1,3.608,79.885,6.5529,8.437,4.02
1,3.808,79.878,6.9026,8.893,4.489
1,4.008,79.872,7.2505,9.349,4.983
1,4.208,79.866,7.5953,9.802,5.502
1,4.408,79.86,7.938,10.255,6.047
1,4.608,79.854,8.2786,10.706,6.616
1,4.808,79.848,8.6172,11.156,7.211
1,5.008,79.842,8.9536,11.605,7.831
1,5.208,79.836,9.2879,12.053,8.476
1,5.408,79.83,9.62,12.5,9.145
1,5.608,79.824,9.9498,12.945,9.84
1,5.808,79.818,10.2761,13.389,10.559
1,6.008,79.812,10.5995,13.832,11.303
1,6.208,79.806,10.9204,14.274,12.071
1,6.408,79.8,11.2388,14.715,12.864
1,6.608,79.795,11.5545,15.155,13.682
1,6.808,79.789,11.8677,15.594,14.524
1,7.008,79.786,12.0,16.032,15.39
1,7.208,79.786,12.0,16.46,16.281
1,7.408,79.786,12.0,16.873,17.195
1,7.608,79.786,12.0,17.274,18.133
1,7.808,79.785,12.0,17.662,19.092
1,8.008,79.785,12.0,18.039,20.073
1,8.208,79.785,12.0,18.406,21.076
1,8.408,79.784,12.0,18.765,22.098
1,8.608,79.784,12.0,19.117,23.141
